Datetime,Event,Actual,Forecast,Deviation
2021-01-05 15:00:00,ISM,60.7,56.6,4.100000000000001
2021-01-06 13:15:00,ADP,-123000.0,88000.0,-211000.0
2021-01-07 13:30:00,Jobless,787000.0,800000.0,-13000.0
2021-01-08 13:30:00,Earnings,0.8,0.2,0.6000000000000001
2021-01-08 13:30:00,NFP,-140000.0,71000.0,-211000.0
2021-01-13 13:30:00,CPI,0.4,0.4,0.0
2021-01-13 13:30:00,CPI,1.4,1.3,0.09999999999999987
2021-01-13 13:30:00,CPI,0.1,0.1,0.0
2021-01-14 13:30:00,Jobless,965000.0,795000.0,170000.0
2021-01-15 13:30:00,Retail,-1.4,-0.1,-1.2999999999999998
2021-01-15 13:30:00,PPI,0.3,0.4,-0.10000000000000003
2021-01-15 13:30:00,Retail,-0.7,-0.2,-0.49999999999999994
2021-01-21 13:30:00,Jobless,900000.0,910000.0,-10000.0
2021-01-27 19:00:00,FedRate,0.25,0.25,0.0
2021-01-28 13:30:00,GDP,4.0,4.0,0.0
2021-01-28 13:30:00,Jobless,847000.0,875000.0,-28000.0
2021-02-01 15:00:00,ISM,58.7,60.0,-1.2999999999999972
2021-02-03 13:15:00,ADP,174000.0,49000.0,125000.0
2021-02-04 13:30:00,Jobless,779000.0,830000.0,-51000.0
2021-02-05 13:30:00,Earnings,0.2,0.3,-0.09999999999999998
2021-02-05 13:30:00,NFP,49000.0,50000.0,-1000.0
2021-02-10 13:30:00,CPI,0.3,0.3,0.0
2021-02-10 13:30:00,CPI,1.4,1.5,-0.10000000000000009
2021-02-10 13:30:00,CPI,0.0,0.2,-0.2
2021-02-11 13:30:00,Jobless,793000.0,757000.0,36000.0
2021-02-17 13:30:00,Retail,5.9,1.0,4.9
2021-02-17 13:30:00,Retail,5.3,1.1,4.199999999999999
2021-02-17 13:30:00,PPI,1.3,0.4,0.9
2021-02-18 13:30:00,Jobless,861000.0,765000.0,96000.0
2021-02-25 13:30:00,GDP,4.1,4.2,-0.10000000000000053
2021-02-25 13:30:00,Jobless,730000.0,838000.0,-108000.0
2021-03-01 15:00:00,ISM,60.8,58.8,2.0
2021-03-03 13:15:00,ADP,117000.0,177000.0,-60000.0
2021-03-04 13:30:00,Jobless,745000.0,750000.0,-5000.0
2021-03-05 13:30:00,NFP,379000.0,182000.0,197000.0
2021-03-05 13:30:00,Earnings,0.2,0.2,0.0
2021-03-10 13:30:00,CPI,0.4,0.4,0.0
2021-03-10 13:30:00,CPI,0.1,0.2,-0.1
2021-03-10 13:30:00,CPI,1.7,1.7,0.0
2021-03-11 13:30:00,Jobless,712000.0,725000.0,-13000.0
2021-03-12 13:30:00,PPI,0.5,0.5,0.0
2021-03-16 12:30:00,Retail,-3.0,-0.5,-2.5
2021-03-16 12:30:00,Retail,-2.7,-0.1,-2.6
2021-03-17 18:00:00,FedRate,0.25,0.25,0.0
2021-03-18 12:30:00,Jobless,770000.0,700000.0,70000.0
2021-03-25 12:30:00,GDP,4.3,4.1,0.20000000000000018
2021-03-25 12:30:00,Jobless,684000.0,730000.0,-46000.0
2021-03-31 12:15:00,ADP,517000.0,550000.0,-33000.0
2021-04-01 12:30:00,Jobless,719000.0,680000.0,39000.0
2021-04-01 14:00:00,ISM,64.7,61.3,3.4000000000000057
2021-04-02 12:30:00,NFP,916000.0,647000.0,269000.0
2021-04-02 12:30:00,Earnings,-0.1,0.1,-0.2
2021-04-08 12:30:00,Jobless,744000.0,680000.0,64000.0
2021-04-09 12:30:00,PPI,1.0,0.5,0.5
2021-04-13 12:30:00,CPI,0.6,0.5,0.09999999999999998
2021-04-13 12:30:00,CPI,2.6,2.5,0.10000000000000009
2021-04-13 12:30:00,CPI,0.3,0.2,0.09999999999999998
2021-04-15 12:30:00,Jobless,576000.0,700000.0,-124000.0
2021-04-15 12:30:00,Retail,9.8,5.9,3.9000000000000004
2021-04-15 12:30:00,Retail,8.4,5.0,3.4000000000000004
2021-04-22 12:30:00,Jobless,547000.0,617000.0,-70000.0
2021-04-28 18:00:00,FedRate,0.25,0.25,0.0
2021-04-29 12:30:00,GDP,6.4,6.1,0.3000000000000007
2021-04-29 12:30:00,Jobless,553000.0,549000.0,4000.0
2021-05-03 14:00:00,ISM,60.7,65.0,-4.299999999999997
2021-05-05 12:15:00,ADP,742000.0,800000.0,-58000.0
2021-05-06 12:30:00,Jobless,498000.0,540000.0,-42000.0
2021-05-07 12:30:00,Earnings,0.7,0.1,0.6
2021-05-07 12:30:00,NFP,266000.0,978000.0,-712000.0
2021-05-12 12:30:00,CPI,0.8,0.2,0.6000000000000001
2021-05-12 12:30:00,CPI,4.2,3.6,0.6000000000000001
2021-05-12 12:30:00,CPI,0.9,0.3,0.6000000000000001
2021-05-13 12:30:00,Jobless,473000.0,490000.0,-17000.0
2021-05-13 12:30:00,PPI,0.6,0.3,0.3
2021-05-14 12:30:00,Retail,-0.8,0.7,-1.5
2021-05-14 12:30:00,Retail,0.0,1.0,-1.0
2021-05-20 12:30:00,Jobless,444000.0,450000.0,-6000.0
2021-05-27 12:30:00,GDP,6.4,6.5,-0.09999999999999964
2021-05-27 12:30:00,Jobless,406000.0,425000.0,-19000.0
2021-06-01 14:00:00,ISM,61.2,60.9,0.30000000000000426
2021-06-03 12:15:00,ADP,978000.0,650000.0,328000.0
2021-06-03 12:30:00,Jobless,385000.0,390000.0,-5000.0
2021-06-04 12:30:00,Earnings,0.5,0.2,0.3
2021-06-04 12:30:00,NFP,559000.0,650000.0,-91000.0
2021-06-10 12:30:00,Jobless,376000.0,370000.0,6000.0
2021-06-10 12:30:00,CPI,0.6,0.4,0.19999999999999996
2021-06-10 12:30:00,CPI,0.7,0.4,0.29999999999999993
2021-06-10 12:30:00,CPI,5.0,4.7,0.2999999999999998
2021-06-15 12:30:00,Retail,-1.3,-0.8,-0.5
2021-06-15 12:30:00,Retail,-0.7,0.2,-0.8999999999999999
2021-06-15 12:30:00,PPI,0.8,0.6,0.20000000000000007
2021-06-16 18:00:00,FedRate,0.25,0.25,0.0
2021-06-17 12:30:00,Jobless,412000.0,359000.0,53000.0
2021-06-24 12:30:00,GDP,6.4,6.4,0.0
2021-06-24 12:30:00,Jobless,411000.0,380000.0,31000.0
2021-06-30 12:15:00,ADP,692000.0,600000.0,92000.0
2021-07-01 12:30:00,Jobless,364000.0,390000.0,-26000.0
2021-07-01 14:00:00,ISM,60.6,61.0,-0.3999999999999986
2021-07-02 12:30:00,Earnings,0.3,0.4,-0.10000000000000003
